년도,월,도로,방향,지표,값
2023,3,일반국도36호선,상행,평균통행속도,42.3718
2023,3,일반국도36호선,하행,점유율,9.001532
2023,3,일반국도36호선,하행,총합,180893.6666667
2023,3,일반국도36호선,하행,평균통행속도,41.0955
2023,3,절재로,상행,점유율,3.435959
2023,3,절재로,상행,총합,53349.0
2023,3,절재로,상행,평균통행속도,71.1236
2023,3,절재로,하행,점유율,4.12698
2023,3,절재로,하행,총합,160446.5
2023,3,절재로,하행,평균통행속도,64.4784
2023,3,정안세종로,상행,점유율,2.152797
2023,3,정안세종로,상행,총합,156674.0
2023,3,정안세종로,상행,평균통행속도,58.7812
2023,3,정안세종로,하행,점유율,2.46041
2023,3,정안세종로,하행,총합,154999.0
2023,3,정안세종로,하행,평균통행속도,114.1356
2023,3,조치원로,상행,점유율,6.518823
2023,3,조치원로,상행,총합,88711.5
2023,3,조치원로,상행,평균통행속도,36.6366
2023,3,조치원로,하행,점유율,6.792714
2023,3,조치원로,하행,총합,44035.75
2023,3,조치원로,하행,평균통행속도,33.2422
2023,3,지방도604호선,상행,점유율,2.348356
2023,3,지방도604호선,상행,총합,128218.0
2023,3,지방도604호선,상행,평균통행속도,81.0056
2023,3,지방도604호선,하행,점유율,2.429373
2023,3,지방도604호선,하행,총합,98363.0
2023,3,지방도604호선,하행,평균통행속도,89.5786
2023,3,지방도96호선,상행,점유율,4.539431
2023,3,지방도96호선,상행,총합,46727.75
2023,3,지방도96호선,상행,평균통행속도,61.6538
2023,3,지방도96호선,하행,점유율,3.531328
2023,3,지방도96호선,하행,총합,60526.75
2023,3,지방도96호선,하행,평균통행속도,62.5292
2023,3,청연로,상행,점유율,2.875878
2023,3,청연로,상행,총합,59335.0
2023,3,청연로,상행,평균통행속도,50.4716
2023,3,청연로,하행,점유율,3.678027
2023,3,청연로,하행,총합,31142.0
2023,3,청연로,하행,평균통행속도,45.5365
2023,3,충현로,상행,점유율,4.644703
2023,3,충현로,상행,총합,45054.0
2023,3,충현로,상행,평균통행속도,35.7189
2023,3,충현로,하행,점유율,4.391541
2023,3,충현로,하행,총합,127043.0
2023,3,충현로,하행,평균통행속도,37.0108
2023,3,평기길,상행,점유율,1.997653
2023,3,평기길,상행,총합,9156.0
2023,3,평기길,상행,평균통행속도,47.771
2023,3,평기길,하행,점유율,2.063715
2023,3,평기길,하행,총합,19204.0
2023,3,평기길,하행,평균통행속도,54.3688
2023,3,한누리대로,상행,점유율,4.399948
2023,3,한누리대로,상행,총합,117065.25
2023,3,한누리대로,상행,평균통행속도,50.4576
2023,3,한누리대로,하행,점유율,4.909405
2023,3,한누리대로,하행,총합,133922.9
2023,3,한누리대로,하행,평균통행속도,49.2241
2023,3,행복대로,상행,점유율,2.264594
2023,3,행복대로,상행,총합,97441.0
2023,3,행복대로,상행,평균통행속도,78.9711
2023,3,행복대로,하행,점유율,2.457517
2023,3,행복대로,하행,총합,322.0
2023,3,행복대로,하행,평균통행속도,80.2349
2023,4,갈매로,상행,점유율,1.644747
2023,4,갈매로,상행,총합,66995.0
2023,4,갈매로,상행,평균통행속도,52.0464
2023,4,갈매로,하행,점유율,2.412164
2023,4,갈매로,하행,총합,97063.5
2023,4,갈매로,하행,평균통행속도,44.1684
2023,4,구즉세종로,상행,점유율,4.729552
2023,4,구즉세종로,상행,총합,43660.0
2023,4,구즉세종로,상행,평균통행속도,74.3155
2023,4,구즉세종로,하행,점유율,6.539708
2023,4,구즉세종로,하행,총합,43396.6666667
2023,4,구즉세종로,하행,평균통행속도,68.1953
2023,4,당산로,상행,점유율,3.829735
2023,4,당산로,상행,총합,82645.0
2023,4,당산로,상행,평균통행속도,47.6411
2023,4,당산로,하행,점유율,3.378883
2023,4,당산로,하행,총합,44962.0
2023,4,당산로,하행,평균통행속도,47.6858
2023,4,산학리길,상행,점유율,2.529376
2023,4,산학리길,상행,총합,18999.0
2023,4,산학리길,상행,평균통행속도,55.2235
2023,4,산학리길,하행,점유율,2.218227
2023,4,산학리길,하행,총합,31762.0
2023,4,산학리길,하행,평균통행속도,57.4515
2023,4,새내로,상행,점유율,7.757869
2023,4,새내로,상행,총합,73703.5
2023,4,새내로,상행,평균통행속도,32.523
2023,4,새내로,하행,점유율,5.532147
2023,4,새내로,하행,총합,31239.5
2023,4,새내로,하행,평균통행속도,38.1651
2023,4,세종청주로,상행,점유율,3.095041
2023,4,세종청주로,상행,총합,50832.0
2023,4,세종청주로,상행,평균통행속도,91.7202
2023,4,세종청주로,하행,점유율,3.845563
2023,4,세종청주로,하행,총합,74222.5
2023,4,세종청주로,하행,평균통행속도,81.5744
2023,4,시목부강로,상행,점유율,3.133955
2023,4,시목부강로,상행,총합,19366.0
2023,4,시목부강로,상행,평균통행속도,50.8593
2023,4,시목부강로,하행,점유율,2.814042
2023,4,시목부강로,하행,총합,46867.0
2023,4,시목부강로,하행,평균통행속도,48.8944
2023,4,시청대로,상행,점유율,4.607063
2023,4,시청대로,상행,총합,52084.5
2023,4,시청대로,상행,평균통행속도,26.3254
2023,4,시청대로,하행,점유율,3.707421
2023,4,시청대로,하행,총합,43977.0
2023,4,시청대로,하행,평균통행속도,32.0907
2023,4,연청로,상행,점유율,1.677713
2023,4,연청로,상행,총합,64433.0
2023,4,연청로,상행,평균통행속도,83.1424
2023,4,연청로,하행,점유율,2.415797
2023,4,연청로,하행,총합,59949.0
2023,4,연청로,하행,평균통행속도,78.654
2023,4,용연로,상행,점유율,1.952855
2023,4,용연로,상행,총합,8664.5
2023,4,용연로,상행,평균통행속도,55.3603
2023,4,용연로,하행,점유율,2.407012
2023,4,용연로,하행,총합,19342.0
2023,4,용연로,하행,평균통행속도,54.1845
2023,4,일반국도1호선,상행,점유율,4.801735
2023,4,일반국도1호선,상행,총합,242125.25
2023,4,일반국도1호선,상행,평균통행속도,76.4548
2023,4,일반국도1호선,하행,점유율,3.887823
2023,4,일반국도1호선,하행,총합,271728.25
2023,4,일반국도1호선,하행,평균통행속도,79.5409
2023,4,일반국도36호선,상행,점유율,4.556512
2023,4,일반국도36호선,상행,총합,31051.6666667
2023,4,일반국도36호선,상행,평균통행속도,53.7807
2023,4,일반국도36호선,하행,점유율,7.337611
2023,4,일반국도36호선,하행,총합,176302.0
2023,4,일반국도36호선,하행,평균통행속도,48.1926
2023,4,절재로,하행,점유율,4.108535
2023,4,절재로,하행,총합,157033.0
2023,4,절재로,하행,평균통행속도,64.0681
2023,4,정안세종로,상행,점유율,2.138869
2023,4,정안세종로,상행,총합,157849.3333333
2023,4,정안세종로,상행,평균통행속도,58.9393
2023,4,정안세종로,하행,점유율,2.516461
2023,4,정안세종로,하행,총합,154093.3333333
2023,4,정안세종로,하행,평균통행속도,114.4479
2023,4,조치원로,상행,점유율,6.751044
2023,4,조치원로,상행,총합,85504.0
