정류소ID,정류소명,위도,경도,할당_승차,할당_하차,할당_환승,평균거리_km,할당_총수요
SJB293064377,한결초등학교,36.4960562,127.2472552,0.0,0.0,0.0,0.0,0.0
SJB293064375,"가온마을2,3단지",36.4961754,127.2418338,0.0,0.0,0.0,0.0,0.0
SJB293064373,다정고등학교(가온마을1단지),36.4927929,127.2431235,0.0,0.0,0.0,0.0,0.0
SJB293064367,다정중학교(가온마을4단지),36.4936286,127.2481842,0.0,0.0,0.0,0.0,0.0
SJB293064371,새뜸마을10단지,36.4905735,127.2508178,0.0,0.0,0.0,0.0,0.0
SJB293064369,새뜸마을14단지,36.4909023,127.2550427,0.0,0.0,0.0,0.0,0.0
SJB293064350,나릿재마을,36.4912197,127.2581891,0.0,0.0,0.0,0.0,0.0
SJB293064269,과학기술정보통신,36.4959777,127.2634881,0.0,0.0,0.0,0.0,0.0
SJB293064232,대평동(해들마을),36.4719176,127.2763944,0.0,0.0,0.0,0.0,0.0
SJB293064207,보람동(해들마을),36.4746524,127.2805,0.0,0.0,0.0,0.0,0.0
SJB293064079,세종시청.교육청.시의회,36.478188,127.288035,0.0,0.0,0.0,0.0,0.0
SJB293064164,세종우체국(보람초등학교),36.4802554,127.2931435,0.0,0.0,0.0,0.0,0.0
SJB293064167,"호려울마을8,9단지",36.4797747,127.296745,0.0,0.0,0.0,0.0,0.0
SJB293064169,"새샘마을1,2단지",36.480853,127.299974,0.0,0.0,0.0,0.0,0.0
SJB293064362,소담고등학교(새샘마을5단지),36.4815502,127.3045326,0.0,0.0,0.0,0.0,0.0
SJB293060004,한국개발연구원(KDI),36.4825782,127.3074549,0.0,0.0,0.0,0.0,0.0
SJB293064364,새샘마을6단지,36.4847415,127.3044855,0.0,0.0,0.0,0.0,0.0
SJB293064213,글벗중학교(새샘마을9단지),36.4898882,127.2984603,0.0,0.0,0.0,0.0,0.0
SJB293057002,한국조세재정연구원,36.49285,127.30063,0.0,0.0,0.0,0.0,0.0
SJB293064077,국책연구단지북측,36.4955579,127.3033473,0.0,0.0,0.0,0.0,0.0
SJB293064451,국립세종수목원(연구동),36.4980336,127.2897139,0.0,0.0,0.0,0.0,0.0
SJB293064452,"국립세종수목원,중앙공원",36.4996496,127.283625,0.0,0.0,0.0,0.0,0.0
SJB293064453,세종호수공원,36.5018825,127.2791339,0.0,0.0,0.0,0.0,0.0
SJB293062025,국무조정실(한뜰마을3단지),36.50408,127.27115,0.0,0.0,0.0,0.0,0.0
SJB293064024,정부세종청사스포츠센터,36.5063112,127.2586961,0.0,0.0,0.0,0.0,0.0
SJB293064058,도램마을1단지,36.5078138,127.2572564,0.0,0.0,0.0,0.0,0.0
SJB293064059,범지기마을4단지,36.507833,127.2490874,0.0,0.0,0.0,0.0,0.0
SJB293064148,범지기마을1단지,36.5089857,127.242171,0.0,0.0,0.0,0.0,0.0
SJB293064158,"가락마을7,8단지",36.5055858,127.2395189,0.0,0.0,0.0,0.0,0.0
SJB293064028,고운중학교,36.5068832,127.2367283,0.0,0.0,0.0,0.0,0.0
SJB293064089,고운고등학교,36.509267,127.2343639,0.0,0.0,0.0,0.0,0.0
SJB293064107,가락마을14단지,36.5129521,127.2334076,34240.0,37241.0,6946.0,0.09480533711553667,71481.0
SJB293064091,가락초등학교,36.5156123,127.2337503,0.0,0.0,0.0,0.0,0.0
SJB293064093,두루중학교,36.5173305,127.2381952,0.0,0.0,0.0,0.0,0.0
SJB293064095,"두루초,중학교",36.5191814,127.2394622,0.0,0.0,0.0,0.0,0.0
SJB293064424,세종누리학교,36.525453,127.242234,0.0,0.0,0.0,0.0,0.0
SJB293064425,세종누리학교,36.525623,127.242241,0.0,0.0,0.0,0.0,0.0
SJB293064096,"두루초,중학교",36.5187165,127.2391789,0.0,0.0,0.0,0.0,0.0
SJB293064094,두루중학교,36.5174909,127.2373346,0.0,0.0,0.0,0.0,0.0
SJB293064092,가락초등학교,36.5156976,127.233616,0.0,0.0,0.0,0.0,0.0
SJB293064106,가락마을14단지,36.51301,127.2331115,0.0,0.0,0.0,0.0,0.0
SJB293064090,고운고등학교,36.5089377,127.2342422,0.0,0.0,0.0,0.0,0.0
SJB293064029,고운중학교,36.5060786,127.2377584,0.0,0.0,0.0,0.0,0.0
SJB293064205,"가락마을7,8단지",36.5051871,127.240274,0.0,0.0,0.0,0.0,0.0
SJB293064149,범지기마을1단지,36.5087261,127.2430206,0.0,0.0,0.0,0.0,0.0
SJB293064071,가재마을12단지,36.5073176,127.2505017,0.0,0.0,0.0,0.0,0.0
SJB293064072,도램마을1단지,36.5075751,127.2573298,0.0,0.0,0.0,0.0,0.0
SJB293064023,정부세종청사스포츠센터,36.5063018,127.2584839,0.0,0.0,0.0,0.0,0.0
SJB293062016,도램마을9단지,36.5084834,127.2624829,0.0,0.0,0.0,0.0,0.0
SJB293062026,국무조정실(한뜰마을3단지),36.50383,127.27132,0.0,0.0,0.0,0.0,0.0
SJB293014034,세종호수공원,36.50216,127.27738,0.0,0.0,0.0,0.0,0.0
SJB293064454,세종중앙공원,36.5001803,127.2821042,0.0,0.0,0.0,0.0,0.0
SJB293064455,국립세종수목원,36.4988004,127.286745,0.0,0.0,0.0,0.0,0.0
SJB293064456,국립세종수목원(연구동),36.4976075,127.2900113,0.0,0.0,0.0,0.0,0.0
SJB293064078,국책연구단지북측,36.4959817,127.3034244,0.0,0.0,0.0,0.0,0.0
SJB293057001,한국조세재정연구원,36.49277,127.30037,0.0,0.0,0.0,0.0,0.0
SJB293064212,글벗중학교(새샘마을9단지),36.4906457,127.2986202,0.0,0.0,0.0,0.0,0.0
SJB293064365,새샘마을6단지,36.4845112,127.3042404,0.0,0.0,0.0,0.0,0.0
SJB293060003,한국개발연구원(KDI),36.48246,127.30716,0.0,0.0,0.0,0.0,0.0
SJB293064363,소담고등학교(새샘마을1단지),36.4815428,127.3027743,0.0,0.0,0.0,0.0,0.0
SJB293064168,"새샘마을1,2단지",36.4807836,127.298936,0.0,0.0,0.0,0.0,0.0
SJB293064166,"호려울마을8,9단지",36.4796473,127.2960085,0.0,0.0,0.0,0.0,0.0
SJB293064165,세종우체국(보람초등학교),36.4805387,127.2927688,0.0,0.0,0.0,0.0,0.0
SJB293064080,세종시청.교육청.시의회,36.478828,127.288963,1904782.0,1640754.0,150326.0,0.176395919331366,3545536.0
SJB293064208,보람동(호려울마을),36.4757635,127.2817304,0.0,0.0,0.0,0.0,0.0
SJB293064231,대평동(해들마을),36.4723006,127.2763096,0.0,0.0,0.0,0.0,0.0
SJB293064259,조치원버스터미널,36.6018992,127.3028932,0.0,0.0,0.0,0.0,0.0
SJB293064152,조치원전통시장북측,36.6015602,127.2996293,0.0,0.0,0.0,0.0,0.0
SJB293001084,조치원역,36.60099,127.29713,0.0,0.0,0.0,0.0,0.0
SJB293001087,세종우체국,36.60296,127.29789,0.0,0.0,0.0,0.0,0.0
SJB293001086,세종중학교,36.60578,127.29741,0.0,0.0,0.0,0.0,0.0
SJB293001082,세종고등학교,36.61017,127.2968,0.0,0.0,0.0,0.0,0.0
SJB293001067,새주막거리,36.61256,127.29455,0.0,0.0,0.0,0.0,0.0
SJB293001029,구렁말,36.61749,127.28889,0.0,0.0,0.0,0.0,0.0
